X,Y
0,1
0.0069393,0.99974
0.0138577,0.999446
0.0207552,0.999118
0.0276319,0.998757
0.0344877,0.998362
0.0413226,0.997934
0.0481366,0.997472
0.0549297,0.996977
0.061702,0.996448
0.0684533,0.995885
0.0751838,0.995289
0.0818934,0.994659
0.0885822,0.993996
0.09525,0.993299
0.101897,0.992568
0.108523,0.991804
0.115128,0.991006
0.121713,0.990175
0.128276,0.98931
0.134819,0.988412
0.14134,0.987479
0.147841,0.986514
0.154321,0.985515
0.16078,0.984482
0.167218,0.983415
0.173636,0.982315
0.180032,0.981182
0.186408,0.980014
0.192762,0.978813
0.199096,0.977579
0.205409,0.976311
0.211701,0.97501
0.217972,0.973674
0.224222,0.972306
0.230452,0.970903
0.23666,0.969467
0.242848,0.967998
0.249014,0.966495
0.25516,0.964958
0.261285,0.963388
0.267389,0.961784
0.273472,0.960146
0.279535,0.958475
0.285576,0.956771
0.291597,0.955032
0.297596,0.953261
0.303575,0.951455
0.309533,0.949616
0.31547,0.947744
0.321386,0.945837
0.327282,0.943898
0.333156,0.941924
0.33901,0.939917
0.344842,0.937877
0.350654,0.935803
0.356445,0.933695
0.362215,0.931554
0.367964,0.929379
0.373692,0.92717
0.3794,0.924928
0.385086,0.922653
0.390752,0.920343
0.396396,0.918001
0.40202,0.915624
0.407623,0.913214
0.413205,0.910771
0.418766,0.908293
0.424307,0.905783
0.429826,0.903238
0.435325,0.90066
0.440802,0.898049
0.446259,0.895404
0.451695,0.892725
0.45711,0.890013
0.462504,0.887267
0.467878,0.884487
0.47323,0.881674
0.478562,0.878827
0.483872,0.875947
0.489162,0.873033
0.494431,0.870086
0.499679,0.867105
0.504906,0.86409
0.510112,0.861042
0.515297,0.85796
0.520462,0.854845
0.525606,0.851696
0.530728,0.848514
0.53583,0.845297
0.540911,0.842048
0.545971,0.838764
0.55101,0.835447
0.556029,0.832097
0.561026,0.828713
0.566003,0.825295
0.570958,0.821844
0.575893,0.818359
0.580807,0.814841
0.5857,0.811289
0.590572,0.807703
0.595423,0.804084
0.600254,0.800431
0.605063,0.796745
0.609852,0.793025
0.61462,0.789271
0.619366,0.785484
0.624092,0.781663
0.628798,0.777809
0.633482,0.773921
0.638145,0.77
0.642788,0.766044
0.647409,0.762056
0.65201,0.758034
0.656589,0.753979
0.661147,0.749891
0.665683,0.74577
0.670197,0.741617
0.674689,0.737432
0.679159,0.733215
0.683607,0.728967
0.688032,0.724687
0.692434,0.720376
0.696814,0.716033
0.70117,0.711661
0.705502,0.707258
0.709812,0.702824
0.714097,0.698361
0.718359,0.693868
0.722596,0.689345
0.726809,0.684794
0.730998,0.680213
0.735161,0.675604
0.7393,0.670966
0.743414,0.6663
0.747503,0.661606
0.751566,0.656884
0.755604,0.652135
0.759615,0.647358
0.763601,0.642554
0.76756,0.637724
0.771493,0.632867
0.7754,0.627984
0.779279,0.623074
0.783132,0.618139
0.786957,0.613178
0.790755,0.608192
0.794526,0.603181
0.798269,0.598145
0.801984,0.593085
0.80567,0.588
0.809329,0.582891
0.812958,0.577758
0.81656,0.572602
0.820132,0.567422
0.823675,0.562219
0.827189,0.556993
0.830673,0.551744
0.834128,0.546473
0.837553,0.54118
0.840948,0.535865
0.844312,0.530528
0.847647,0.52517
0.85095,0.519791
0.854223,0.514391
0.857465,0.50897
0.860675,0.503528
0.863855,0.498067
0.867002,0.492585
0.870118,0.487083
0.873202,0.481563
0.876254,0.476022
0.879273,0.470463
0.88226,0.464885
0.885215,0.459289
0.888136,0.453674
0.891024,0.448042
0.893879,0.442391
0.896701,0.436723
0.899489,0.431038
0.902242,0.425335
0.904962,0.419616
0.907648,0.41388
0.910299,0.408128
0.912916,0.40236
0.915498,0.396576
0.918045,0.390776
0.920556,0.384961
0.923032,0.379131
0.925473,0.373286
0.927878,0.367426
0.930247,0.361552
0.93258,0.355664
0.934876,0.349762
0.937136,0.343846
0.939359,0.337917
0.941546,0.331975
0.943695,0.32602
0.945807,0.320052
0.947881,0.314071
0.949918,0.308079
0.951917,0.302074
0.953877,0.296058
0.9558,0.29003
0.957684,0.283991
0.95953,0.277941
0.961336,0.271881
0.963104,0.26581
0.964832,0.259728
0.966521,0.253637
0.968171,0.247536
0.969781,0.241425
0.97135,0.235305
0.97288,0.229176
0.974369,0.223038
0.975818,0.216892
0.977226,0.210737
0.978593,0.204574
0.979919,0.198404
0.981204,0.192226
0.982447,0.18604
0.983648,0.179848
0.984808,0.173648
0.985925,0.167442
0.987001,0.16123
0.988035,0.155011
0.989026,0.148787
0.989976,0.142557
0.990884,0.136321
0.991751,0.130081
0.992576,0.123835
0.993359,0.117585
0.994101,0.111331
0.994801,0.105072
0.99546,0.0988094
0.996078,0.0925431
0.996654,0.0862733
0.997189,0.0800004
0.997683,0.0737245
0.998136,0.0674459
0.998548,0.0611648
0.998919,0.0548816
0.999249,0.0485963
0.999538,0.0423093
0.999786,0.0360208
0.999994,0.0297311
1.00016,0.0234404
1.00029,0.0171489
1.00037,0.0108569
1.00042,0.00456464
1.00042,-0.00172765
1.00039,-0.00801972
1.00031,-0.0143113
1.0002,-0.0206022
1.00004,-0.0268922
0.999845,-0.0331809
0.999608,-0.0394683
0.999332,-0.0457539
0.999016,-0.0520376
0.99866,-0.0583192
0.998265,-0.0645983
0.997829,-0.0708748
0.997354,-0.0771484
0.996839,-0.0834188
0.996285,-0.0896859
0.995691,-0.0959493
0.995058,-0.102209
0.994385,-0.108464
0.993674,-0.114715
0.992922,-0.120962
0.992132,-0.127203
0.991303,-0.13344
0.990434,-0.139671
0.989527,-0.145897
0.98858,-0.152117
0.987595,-0.15833
0.986571,-0.164538
0.985508,-0.170738
0.984406,-0.176932
0.983266,-0.183119
0.982087,-0.189299
0.98087,-0.195471
0.979614,-0.201636
0.97832,-0.207792
0.976988,-0.21394
0.975617,-0.22008
0.974208,-0.226211
0.972761,-0.232333
0.971276,-0.238445
0.969753,-0.244548
0.968192,-0.250642
0.966593,-0.256725
0.964956,-0.262799
0.963281,-0.268861
0.961569,-0.274913
0.959819,-0.280955
0.958031,-0.286984
0.956206,-0.293003
0.954344,-0.29901
0.952444,-0.305005
0.950506,-0.310988
0.948532,-0.316958
0.94652,-0.322916
0.944471,-0.32886
0.942385,-0.334792
0.940262,-0.34071
0.938102,-0.346615
0.935905,-0.352506
0.933671,-0.358383
