X,Y
0.517883,0.479137
0.518021,0.479259
0.518158,0.47938
0.518294,0.4795
0.518429,0.479618
0.518564,0.479735
0.518697,0.479851
0.51883,0.479965
0.518962,0.480078
0.519093,0.480189
0.519223,0.480299
0.519352,0.480408
0.519481,0.480515
0.519608,0.480621
0.519735,0.480726
0.519861,0.480829
0.519986,0.480931
0.52011,0.481031
0.520234,0.48113
0.520356,0.481228
0.520478,0.481324
0.520599,0.481419
0.520718,0.481512
0.520838,0.481604
0.520956,0.481695
0.521073,0.481784
0.52119,0.481872
0.521305,0.481959
0.52142,0.482044
0.521534,0.482128
0.521647,0.48221
0.521759,0.482291
0.521871,0.482371
0.521981,0.482449
0.522091,0.482526
0.5222,0.482601
0.522308,0.482675
0.522415,0.482748
0.522521,0.482819
0.522626,0.482889
0.522731,0.482958
0.522835,0.483025
0.522937,0.483091
0.523039,0.483155
0.52314,0.483219
0.523241,0.48328
0.52334,0.48334
0.523439,0.483399
0.523536,0.483457
0.523633,0.483513
0.523729,0.483568
0.523824,0.483621
0.523919,0.483673
0.524012,0.483724
0.524105,0.483773
0.524196,0.483821
0.524287,0.483867
0.524377,0.483913
0.524466,0.483956
0.524555,0.483999
0.524642,0.48404
0.524729,0.484079
0.524814,0.484117
0.524899,0.484154
0.524983,0.484189
0.525067,0.484224
0.525149,0.484256
0.52523,0.484287
0.525311,0.484317
0.525391,0.484346
0.52547,0.484373
0.525548,0.484399
0.525625,0.484423
0.525701,0.484446
0.525777,0.484468
0.525851,0.484488
0.525925,0.484507
0.525998,0.484524
0.52607,0.48454
0.526141,0.484555
0.526212,0.484568
0.526281,0.48458
0.52635,0.484591
0.526418,0.4846
0.526485,0.484608
0.526551,0.484614
0.526616,0.484619
0.52668,0.484623
0.526744,0.484625
0.526806,0.484626
0.526868,0.484625
0.526929,0.484624
0.526989,0.48462
0.527049,0.484616
0.527107,0.48461
0.527165,0.484602
0.527221,0.484593
0.527277,0.484583
0.527332,0.484572
0.527386,0.484559
0.527439,0.484544
0.527492,0.484529
0.527543,0.484512
0.527594,0.484493
0.527644,0.484473
0.527693,0.484452
0.527741,0.484429
0.527788,0.484405
0.527835,0.48438
0.52788,0.484353
0.527925,0.484325
0.527969,0.484296
0.528012,0.484265
0.528054,0.484232
0.528095,0.484199
0.528136,0.484164
0.528176,0.484127
0.528214,0.484089
0.528252,0.48405
0.528289,0.48401
0.528325,0.483968
0.528361,0.483924
0.528395,0.48388
0.528429,0.483833
0.528462,0.483786
0.528493,0.483737
0.528525,0.483687
0.528555,0.483635
0.528584,0.483582
0.528613,0.483528
0.52864,0.483472
0.528667,0.483416
0.528693,0.483358
0.528718,0.483298
0.528743,0.483238
0.528766,0.483176
0.528789,0.483113
0.528811,0.483049
0.528832,0.482983
0.528852,0.482917
0.528872,0.48285
0.52889,0.482781
0.528908,0.482711
0.528925,0.482641
0.528941,0.482569
0.528957,0.482496
0.528972,0.482422
0.528985,0.482348
0.528999,0.482272
0.529011,0.482195
0.529023,0.482118
0.529033,0.482039
0.529043,0.48196
0.529053,0.48188
0.529061,0.481799
0.529069,0.481717
0.529076,0.481635
0.529082,0.481551
0.529088,0.481467
0.529093,0.481383
0.529097,0.481297
0.5291,0.481211
0.529103,0.481124
0.529105,0.481036
0.529106,0.480948
0.529106,0.480859
0.529106,0.48077
0.529105,0.48068
0.529103,0.480589
0.529101,0.480498
0.529097,0.480407
0.529094,0.480315
0.529089,0.480222
0.529084,0.480129
0.529078,0.480035
0.529071,0.479941
0.529064,0.479847
0.529056,0.479752
0.529047,0.479657
0.529038,0.479562
0.529028,0.479466
0.529018,0.47937
0.529006,0.479274
0.528994,0.479177
0.528982,0.47908
0.528968,0.478983
0.528954,0.478886
0.52894,0.478788
0.528925,0.478691
0.528909,0.478593
0.528892,0.478495
0.528875,0.478397
0.528858,0.478299
0.528839,0.478201
0.52882,0.478102
0.528801,0.478004
0.52878,0.477906
0.528759,0.477808
0.528738,0.477709
0.528716,0.477611
0.528693,0.477513
0.52867,0.477415
0.528646,0.477317
0.528622,0.477219
0.528597,0.477121
0.528571,0.477024
0.528545,0.476926
0.528518,0.476829
0.528491,0.476732
0.528463,0.476636
0.528435,0.476539
0.528406,0.476443
0.528376,0.476347
0.528346,0.476252
0.528315,0.476156
0.528284,0.476062
0.528252,0.475967
0.52822,0.475873
0.528187,0.475779
0.528154,0.475686
0.52812,0.475593
0.528085,0.475501
0.52805,0.475409
0.528015,0.475318
0.527979,0.475227
0.527942,0.475137
0.527905,0.475048
0.527867,0.474959
0.527829,0.47487
0.527791,0.474782
0.527752,0.474695
0.527712,0.474609
0.527672,0.474523
0.527631,0.474438
0.52759,0.474354
0.527549,0.47427
0.527507,0.474187
0.527464,0.474105
0.527422,0.474024
0.527378,0.473944
0.527334,0.473864
0.52729,0.473785
0.527245,0.473708
0.5272,0.473631
0.527154,0.473555
0.527108,0.47348
0.527062,0.473406
0.527014,0.473332
0.526967,0.47326
0.526919,0.473189
0.526871,0.473119
0.526822,0.47305
0.526773,0.472982
0.526723,0.472916
0.526673,0.47285
0.526623,0.472785
0.526573,0.472721
0.526522,0.472658
0.52647,0.472596
0.526419,0.472535
0.526367,0.472475
0.526315,0.472416
0.526262,0.472358
0.526209,0.472301
0.526156,0.472244
0.526103,0.472189
0.52605,0.472134
0.525996,0.472081
0.525942,0.472028
0.525889,0.471976
0.525834,0.471925
0.52578,0.471874
0.525726,0.471825
0.525671,0.471776
0.525617,0.471728
0.525562,0.471681
0.525508,0.471634
0.525453,0.471589
0.525398,0.471544
0.525343,0.4715
0.525288,0.471456
0.525234,0.471413
0.525179,0.471371
0.525124,0.47133
0.525069,0.471289
0.525015,0.471249
0.52496,0.47121
0.524905,0.471171
0.524851,0.471133
0.524797,0.471095
0.524743,0.471058
0.524689,0.471022
0.524635,0.470986
0.524581,0.470951
0.524528,0.470916
0.524474,0.470882
0.524421,0.470848
0.524368,0.470815
0.524316,0.470783
0.524263,0.470751
0.524211,0.470719
0.52416,0.470688
0.524108,0.470657
0.524057,0.470627
0.524006,0.470597
0.523956,0.470568
0.523906,0.470539
0.523856,0.470511
0.523807,0.470483
0.523758,0.470455
0.523709,0.470427
0.523661,0.4704
0.523613,0.470374
0.523566,0.470347
0.523519,0.470321
0.523473,0.470296
0.523427,0.47027
0.523382,0.470245
0.523337,0.47022
0.523293,0.470196
0.52325,0.470171
0.523207,0.470147
0.523164,0.470123
0.523122,0.4701
0.523081,0.470076
0.523041,0.470053
0.523001,0.47003
0.522961,0.470007
0.522923,0.469984
0.522885,0.469962
0.522848,0.469939
0.522811,0.469917
0.522775,0.469895
0.52274,0.469873
0.522706,0.469851
0.522673,0.469829
0.52264,0.469807
0.522608,0.469785
0.522577,0.469764
0.522547,0.469742
0.522517,0.46972
0.522489,0.469698
0.522461,0.469677
0.522434,0.469655
0.522408,0.469633
0.522383,0.469611
0.522359,0.46959
0.522336,0.469568
0.522314,0.469546
0.522293,0.469524
0.522272,0.469502
0.522253,0.469479
0.522235,0.469457
0.522218,0.469435
0.522202,0.469412
0.522187,0.469389
0.522173,0.469366
0.52216,0.469343
0.522148,0.46932
0.522137,0.469296
0.522128,0.469272
0.522119,0.469249
0.522112,0.469224
0.522106,0.4692
0.522101,0.469175
0.522097,0.46915
0.522095,0.469125
0.522093,0.4691
0.522093,0.469074
0.522095,0.469048
0.522097,0.469021
0.522101,0.468994
0.522106,0.468967
0.522112,0.46894
0.52212,0.468912
0.522129,0.468883
0.52214,0.468855
0.522151,0.468826
0.522164,0.468796
0.522178,0.468766
0.522193,0.468736
0.52221,0.468705
0.522227,0.468674
0.522245,0.468642
0.522265,0.46861
0.522285,0.468577
0.522306,0.468543
0.522328,0.468509
0.52235,0.468475
0.522373,0.46844
0.522397,0.468404
0.522422,0.468368
