X,Y
0.502613,0.658097
0.503913,0.658085
0.505208,0.658063
0.5065,0.658031
0.507789,0.657989
0.509073,0.657938
0.510354,0.657877
0.51163,0.657806
0.512903,0.657725
0.514173,0.657634
0.515438,0.657534
0.516699,0.657424
0.517957,0.657305
0.519211,0.657175
0.520461,0.657036
0.521707,0.656887
0.52295,0.656728
0.524189,0.65656
0.525423,0.656382
0.526655,0.656194
0.527882,0.655996
0.529105,0.655788
0.530325,0.655571
0.531541,0.655344
0.532753,0.655107
0.533961,0.654861
0.535165,0.654605
0.536366,0.654339
0.537562,0.654063
0.538755,0.653777
0.539945,0.653482
0.54113,0.653177
0.542311,0.652862
0.543489,0.652538
0.544663,0.652204
0.545833,0.65186
0.546999,0.651506
0.548162,0.651142
0.54932,0.650769
0.550475,0.650386
0.551626,0.649993
0.552773,0.649591
0.553917,0.649178
0.555056,0.648756
0.556192,0.648324
0.557324,0.647883
0.558452,0.647431
0.559577,0.64697
0.560697,0.646499
0.561814,0.646019
0.562927,0.645529
0.564036,0.645028
0.565141,0.644519
0.566242,0.643999
0.567339,0.643471
0.568432,0.642933
0.569521,0.642385
0.570606,0.641828
0.571686,0.641263
0.572761,0.640688
0.573833,0.640104
0.574899,0.639512
0.575961,0.63891
0.577018,0.6383
0.57807,0.637682
0.579117,0.637055
0.580159,0.63642
0.581196,0.635776
0.582228,0.635124
0.583255,0.634464
0.584276,0.633796
0.585292,0.633121
0.586302,0.632437
0.587307,0.631745
0.588306,0.631046
0.589299,0.63034
0.590286,0.629626
0.591268,0.628904
0.592243,0.628176
0.593213,0.62744
0.594176,0.626697
0.595133,0.625947
0.596084,0.62519
0.597028,0.624426
0.597966,0.623656
0.598897,0.622878
0.599822,0.622095
0.60074,0.621305
0.601651,0.620508
0.602555,0.619706
0.603452,0.618897
0.604342,0.618082
0.605225,0.617261
0.606101,0.616434
0.60697,0.615601
0.607831,0.614763
0.608684,0.613918
0.609531,0.613069
0.610369,0.612214
0.6112,0.611353
0.612023,0.610488
0.612838,0.609617
0.613646,0.608741
0.614445,0.60786
0.615237,0.606974
0.616021,0.606083
0.616797,0.605188
0.617565,0.604287
0.618326,0.603382
0.619079,0.602473
0.619824,0.601559
0.620562,0.600641
0.621291,0.599718
0.622013,0.598791
0.622728,0.59786
0.623435,0.596925
0.624134,0.595986
0.624825,0.595042
0.625509,0.594095
0.626185,0.593145
0.626854,0.59219
0.627515,0.591232
0.628168,0.59027
0.628814,0.589305
0.629453,0.588337
0.630084,0.587365
0.630707,0.58639
0.631323,0.585412
0.631931,0.58443
0.632532,0.583446
0.633125,0.582459
0.633711,0.581469
0.63429,0.580476
0.634861,0.57948
0.635425,0.578482
0.635981,0.577481
0.63653,0.576478
0.637072,0.575472
0.637606,0.574464
0.638133,0.573454
0.638652,0.572442
0.639165,0.571428
0.63967,0.570411
0.640167,0.569393
0.640658,0.568373
0.641141,0.567351
0.641617,0.566327
0.642086,0.565302
0.642547,0.564275
0.643001,0.563247
0.643448,0.562217
0.643888,0.561186
0.644321,0.560154
0.644747,0.559121
0.645165,0.558086
0.645576,0.557051
0.64598,0.556014
0.646377,0.554976
0.646767,0.553937
0.64715,0.552897
0.647525,0.551856
0.647893,0.550815
0.648254,0.549772
0.648608,0.548729
0.648955,0.547685
0.649295,0.54664
0.649627,0.545594
0.649953,0.544548
0.650271,0.543502
0.650582,0.542454
0.650886,0.541407
0.651183,0.540358
0.651473,0.53931
0.651755,0.538261
0.652031,0.537211
0.652299,0.536162
0.65256,0.535112
0.652815,0.534062
0.653062,0.533011
0.653302,0.531961
0.653534,0.530911
0.65376,0.52986
0.653979,0.52881
0.65419,0.527759
0.654395,0.526709
0.654592,0.525659
0.654782,0.524608
0.654965,0.523559
0.655141,0.522509
0.65531,0.52146
0.655472,0.520411
0.655627,0.519362
0.655775,0.518314
0.655915,0.517266
0.656049,0.516219
0.656175,0.515173
0.656295,0.514127
0.656407,0.513081
0.656512,0.512037
0.656611,0.510993
0.656702,0.509949
0.656786,0.508907
0.656863,0.507866
0.656933,0.506825
0.656996,0.505785
0.657052,0.504747
0.657101,0.503709
0.657143,0.502673
0.657178,0.501637
0.657207,0.500603
0.657228,0.49957
0.657242,0.498539
0.65725,0.497509
0.65725,0.49648
0.657244,0.495453
0.657231,0.494427
0.65721,0.493403
0.657184,0.49238
0.65715,0.491359
0.657109,0.49034
0.657062,0.489322
0.657008,0.488307
0.656947,0.487293
0.65688,0.486281
0.656805,0.485271
0.656724,0.484263
0.656636,0.483257
0.656542,0.482253
0.656441,0.481251
0.656333,0.480252
0.656218,0.479255
0.656097,0.47826
0.655969,0.477267
0.655835,0.476277
0.655694,0.47529
0.655546,0.474305
0.655392,0.473322
0.655231,0.472342
0.655064,0.471365
0.65489,0.47039
0.65471,0.469418
0.654523,0.468449
0.65433,0.467483
0.65413,0.46652
0.653924,0.465559
0.653711,0.464602
0.653492,0.463648
0.653266,0.462697
0.653034,0.461749
0.652796,0.460804
0.652551,0.459862
0.6523,0.458924
0.652043,0.457989
0.651779,0.457057
0.651509,0.456129
0.651233,0.455204
0.650951,0.454282
0.650664,0.453364
0.65037,0.452449
0.650071,0.451538
0.649766,0.45063
0.649455,0.449725
0.649139,0.448824
0.648817,0.447926
0.64849,0.447032
0.648157,0.446141
0.647819,0.445253
0.647476,0.444369
0.647128,0.443489
0.646775,0.442612
0.646417,0.441738
0.646054,0.440868
0.645686,0.440002
0.645313,0.439139
0.644936,0.43828
0.644554,0.437424
0.644168,0.436572
0.643777,0.435723
0.643381,0.434878
0.642982,0.434037
0.642578,0.433199
0.642169,0.432365
0.641757,0.431535
0.641341,0.430708
0.640921,0.429885
0.640497,0.429066
0.640069,0.42825
0.639637,0.427438
0.639201,0.42663
0.638762,0.425825
0.63832,0.425024
0.637874,0.424227
0.637425,0.423434
0.636972,0.422644
0.636516,0.421859
0.636057,0.421077
0.635595,0.420299
0.635129,0.419524
0.634661,0.418754
0.63419,0.417987
0.633716,0.417225
0.63324,0.416466
0.63276,0.415711
